Year,State,Population,Growth,GrowthRate,ShareIndia
1901,GUJARAT REGION,9094748,0,0,3.81
1911,GUJARAT REGION,9803587,708839,7.79,3.89
1921,GUJARAT REGION,10174989,371402,3.79,4.05
1931,GUJARAT REGION,11489828,1314839,12.92,4.12
1941,GUJARAT REGION,13701551,2211723,19.25,4.3
1951,GUJARAT REGION,16262657,2561106,18.69,4.5
1961,GUJARAT REGION,20633350,4370693,26.88,4.7
1971,GUJARAT REGION,26697475,6064125,29.39,4.87
1981,GUJARAT REGION,34085799,7388324,27.67,4.99
1991,GUJARAT REGION,41309582,7223783,21.19,4.88
2001,GUJARAT REGION,50671017,9361435,22.66,4.93
2011,GUJARAT REGION,60439692,9768675,19.28,4.99
